state_name,seats_old,seats_new
California, 53, 52
Texas, 36, 38
Florida, 27, 28
New York, 27, 26
Pennsylvania, 18, 17
Illinois, 18, 17
Ohio, 16, 15
Georgia, 14, 14
North Carolina, 13, 14
Michigan, 14, 13
New Jersey, 12, 12
Virginia, 11, 11
Washington, 10, 10
Arizona, 9, 9
Massachusetts, 9, 9
Tennessee, 9, 9
Indiana, 9, 9
Maryland, 8, 8
Missouri, 8, 8
Wisconsin, 8, 8
Colorado, 7, 8
Minnesota, 8, 8
South Carolina, 7, 7
Alabama, 7, 7
Louisiana, 6, 6
Kentucky, 6, 6
Oregon, 5, 6
Oklahoma, 5, 5
Connecticut, 5, 5
Utah, 4, 4
Iowa, 4, 4
Nevada, 4, 4
Arkansas, 4, 4
Mississippi, 4, 4
Kansas, 4, 4
New Mexico, 3, 3
Nebraska, 3, 3
Idaho, 2, 2
West Virginia, 3, 2
Hawaii, 2, 2
New Hampshire, 2, 2
Maine, 2, 2
Rhode Island, 2, 2
Montana, 1, 2
Delaware, 1, 1
South Dakota, 1, 1
North Dakota, 1, 1
Alaska, 1, 1
Vermont, 1, 1
Wyoming, 1, 1